"ID","NAME","DESCRIPTION","IID"
"BOFS","BOFS","BANK OF SCOTLAND PLC - SYSTEMATIC INTERNALISER",254
"BOND","BOND","BONDVISION ITALIA",255
"BOSC","BOSC","BONDSCAPE",256
"BOSD","BOSD","NASDAQ OMX BX DARK",257
"BOSP","BOSP","WARSAW STOCK EXCHANGE/BONDS/CATALYST/BONDSPOT/MTF",258
"BOTC","BOTC","OFF EXCHANGE IDENTIFIER FOR OTC TRADES REPORTED TO CBOE EUROPE",259
"BOTE","BOTE","BOTSWANA STOCK EXCHANGE - EXCHANGE TRADED FUNDS (ETF)",260
"BOTV","BOTV","BOTSWANA STOCK EXCHANGE - VENTURE CAPITAL",261
"BOVA","BOVA","BOLSA DE CORREDORES - BOLSA DE VALORES",262
"BOVM","BOVM","BOLSA DE VALORES MINAS-ESPÍRITO SANTO-BRASÍLIA",263
"BPAS","BPAS","BANCA PASSADORE - SYSTEMATIC INTERNALISER",264
"BPKO","BPKO","PKO BANK POLSKI S.A. - SYSTEMATIC INTERNALISER",265
"BPLC","BPLC","BARCLAYS BANK PLC",266
"BPOL","BPOL","BLOOMBERG BPOOL",267
"BPSX","BPSX","BNP PARIBAS SECURITIES SERVICES - SYSTEMATIC INTERNALISER",268
"BRDE","BRDE","BRD - GROUPE SOCIETE GENERALE S.A.",269
"BRDL","BRDL","BRD - GROUPE SOCIETE GENERALE S.A. - LIQUIDITY PROVIDER",270
"BRDS","BRDS","BRD - GROUPE SOCIETE GENERALE S.A. - SYSTEMATIC INTERNALISER",271
"BREA","BREA","BANCA REALE - SYSTEMATIC INTERNALISER",272
"BRED","BRED","BRED BANQUE POPULAIRE - SYSTEMATIC INTERNALISER",273
"BRFQ","BRFQ","BLOCKMATCH UK RFQ",274
"BRGA","BRGA","BRYAN GARNIER AND CO LIMITED",275
"BRIX","BRIX","BRAZILIAN ENERGY EXCHANGE",276
"BRMF","BRMF","ROMANIAN  COMMODITIES EXCHANGE - BRM-SMT",277
"BRNX","BRNX","BERNSTEIN CROSS (BERN-X)",278
"BSAB","BSAB","BANCO DE SABADELL, S.A. -  SYSTEMATIC INTERNALISER",279
"BSEX","BSEX","BAKU STOCK EXCHANGE",280
"BSFX","BSFX","BAYERNLB - FX HANDEL - SYSTEMATIC INTERNALISER",281
"BSLB","BSLB","BANCO SANTANDER, LONDON BRANCH - SYSTEMATIC INTERNALISER",282
"BSME","BSME","BSE SME",283
"BSPL","BSPL","BNP PARIBAS SECURITIES SERVICES LONDON BRANCH - SYSTEMATIC INTERNALISER",284
"BSTX","BSTX","BOSTON SECURITY TOKEN EXCHANGE LLC",285
"BTAM","BTAM","CME AMSTERDAM B.V.",286
"BTBS","BTBS","BLOOMBERG TRADEBOOK SINGAPORE PTE LTD",287
"BTEC","BTEC","ICAP ELECTRONIC BROKING (US)",288
"BTEE","BTEE","BROKERTEC EUROPE LIMITED - ALL MARKETS",289
"BTEQ","BTEQ","BROKERTEC AMERICAS LLC - RFQ PLATFORM",290
"BTFE","BTFE","BLOOMBERG TRADING FACILITY B.V.",291
"BTLX","BTLX","BTL OTC BILAT COMMODITY DERIVATIVES",292
"BTNL","BTNL","BITNOMIAL",293
